antecedents,consequents,support,confidence,lift
"time=Evening, weather=Rain",congestion=Medium,0.020067653101458898,0.66051912568306,2.641583128001462
time=Evening,congestion=Medium,0.16242970095668957,0.6558022622538752,2.6227191975456456
"day=Weekday, time=Morning, weather=Mist",congestion=Severe,0.01952808848859651,0.6498618784530387,2.6015530727769853
"day=Weekday, time=Evening, weather=Rain",congestion=Medium,0.014443729636623985,0.6486486486486486,2.5941100865160953
"day=Weekday, time=Evening",congestion=Medium,0.11552908460788179,0.6485321528424977,2.5936441903080287
"day=Weekday, time=Evening, weather=Clouds",congestion=Medium,0.03743748313860585,0.627042057698992,2.5076998617595927
"time=Evening, weather=Clouds",congestion=Medium,0.05194347023056011,0.6266900350525789,2.50629203411724
"day=Weekend, time=Evening, weather=Clouds",congestion=Medium,0.014505987091954262,0.6257833482542524,2.5026659641735964
"day=Weekday, time=Morning, weather=Clear",congestion=Severe,0.02716500300911034,0.6236303001429252,2.4965417689612974
"day=Weekday, time=Morning, weather=Rain",congestion=Severe,0.013011808164027642,0.6135029354207436,2.455999497309909
"day=Weekday, time=Morning",congestion=Severe,0.10843173470023035,0.5956452348381213,2.3845108358515037
"time=Afternoon, weather=Clouds",congestion=Severe,0.05933135492975284,0.5930304915992534,2.3740433911018712
"time=Afternoon, weather=Clear",congestion=Severe,0.033307738601697556,0.5817325117796304,2.3288148662561308
"time=Afternoon, weather=Rain",congestion=Severe,0.016871770394504743,0.5681341719077568,2.2743774480118866
"day=Weekday, time=Morning, weather=Clouds",congestion=Severe,0.030236370805403947,0.5678098207326578,2.2730789924104498
time=Afternoon,congestion=Severe,0.1368626393010563,0.5645920725965243,2.260197574329876
"day=Weekend, time=Morning, weather=Clear",congestion=Medium,0.010230975159275324,0.5056410256410256,2.022186414023081
"day=Weekend, time=Morning",congestion=Medium,0.03689791852574346,0.5054007959067652,2.0212256745256285
"time=Morning, weather=Mist",congestion=Severe,0.019652603399257063,0.47468671679197993,1.9002848568626016
"time=Morning, weather=Rain",congestion=Severe,0.01309481810446801,0.45363048166786485,1.815991693954424
"day=Weekend, weather=Clouds",congestion=High,0.039367464253844395,0.44708932359179826,1.7872816688168227
time=Morning,congestion=Severe,0.10928258658974412,0.4284784377542717,1.7153020254270241
"time=Morning, weather=Clear",congestion=Severe,0.027310270404880984,0.428106701366298,1.7138138754455265
"time=Morning, weather=Clouds",congestion=Severe,0.030651420507605786,0.41477113170457736,1.660428389419994
"time=Afternoon, weather=Rain",congestion=High,0.01224396621495424,0.41229909154437455,1.648204440372389
time=Afternoon,congestion=High,0.09793097723452383,0.4039893844705077,1.6149856039057868
"day=Weekend, weather=Mist",congestion=Low,0.013655135202440492,0.39710319855159926,1.5883798313775972
"time=Afternoon, weather=Clear",congestion=High,0.02272397119555067,0.3968829285973179,1.586576877411561
"day=Weekday, weather=Clouds",congestion=Severe,0.0877207545603586,0.387265231333028,1.5503156685423793
"day=Weekday, time=Morning, weather=Clouds",congestion=High,0.02050345528877083,0.38503507404520654,1.5392139632500719
"time=Afternoon, weather=Clouds",congestion=High,0.03847510739411045,0.38456751711263226,1.5373448603871254
"time=Morning, weather=Clouds",congestion=High,0.02836864714549567,0.3838809323223813,1.5346001730395376
"day=Weekend, weather=Rain",congestion=High,0.011725154087201942,0.3719552337063858,1.4869260699029045
"day=Weekday, time=Morning",congestion=High,0.06715504181625749,0.3689010487916096,1.4747166781252108
"time=Morning, weather=Rain",congestion=High,0.010355490069935875,0.35873472322070454,1.4340758343982154
"day=Weekend, weather=Mist",congestion=Medium,0.012306223670284517,0.3578756789378395,1.4312354005293115
time=Morning,congestion=High,0.09095814223753294,0.35663140764849466,1.4256676323509219
"day=Weekend, weather=Clear",congestion=Medium,0.029821321103202108,0.3491253644314869,1.396240678550922
day=Weekend,congestion=High,0.09865731421337705,0.34700729927007296,1.3871943529058408
"time=Morning, weather=Clear",congestion=High,0.022059891672027727,0.34580351333767084,1.3823821052930434
"day=Weekday, time=Morning, weather=Clear",congestion=High,0.01502479921970656,0.34492615531205334,1.3788747839739435
"day=Weekday, weather=Rain",congestion=Severe,0.029427023886110362,0.34143992294726705,1.366865960543321
day=Weekend,congestion=Medium,0.09583497623840455,0.3370802919708029,1.348069385774511
day=Weekday,congestion=Severe,0.2409986095834976,0.3367355815234726,1.3480333527350314
"day=Weekend, weather=Rain",congestion=Medium,0.010459252495486335,0.3317972350230415,1.3269411041626111
weather=Mist,congestion=Low,0.04079938572644074,0.33047571020339556,1.3218754086138476
"day=Weekend, time=Morning",congestion=High,0.02380310042127545,0.32603752131893127,1.303365691039932
"day=Weekend, weather=Clear",congestion=High,0.0272687654346608,0.31924198250728864,1.276199884775072
"day=Weekday, weather=Mist",congestion=Severe,0.02799510241351402,0.3143056849953402,1.258241093534141
"day=Weekday, weather=Clear",congestion=Severe,0.059663394691514306,0.3102071644367717,1.2418337320523982
"day=Weekend, weather=Clear",congestion=Low,0.026106626268495654,0.3056365403304179,1.22252079097716
"day=Weekday, weather=Mist",congestion=Low,0.027144250524000248,0.3047530288909599,1.218986818558038
"day=Weekend, weather=Clouds",congestion=Medium,0.02683296324734887,0.30473721423521094,1.2187212334925812
"time=Morning, weather=Mist",congestion=High,0.01245149106605516,0.3007518796992481,1.202283957778967
"time=Evening, weather=Clouds",congestion=High,0.02457094237034885,0.29644466700050076,1.1850654694502347
weather=Clouds,congestion=Severe,0.0916014692759458,0.29119936667106483,1.1657409555353162
"day=Weekday, weather=Snow",congestion=High,0.013032560649137733,0.2908754052802223,1.162801821323882
weather=Clouds,congestion=High,0.09143544939506507,0.29067159255838504,1.1619870607774099
"day=Weekday, time=Evening, weather=Clouds",congestion=High,0.017349077552036858,0.29058046576294755,1.1616227728321846
day=Weekend,congestion=Low,0.08101770186979891,0.284963503649635,1.13983036028596
weather=Clear,congestion=Low,0.07885944341834934,0.28392109982068137,1.1356608314982297
weather=Snow,congestion=High,0.016684998028513913,0.2796521739130435,1.1179358971584392
"day=Weekday, weather=Clear",congestion=Low,0.05275281714985369,0.27427708243418214,1.0970855624849285
weather=Snow,congestion=Low,0.01610392844543134,0.2699130434782609,1.0796297689123397
weather=Clear,congestion=Medium,0.0746051839707805,0.2686043036461446,1.074216580612231
weather=Snow,congestion=Medium,0.01591715607944051,0.2667826086956522,1.0669311615252215
weather=Rain,congestion=Severe,0.030319380745844313,0.2575811001410437,1.031158965896525
weather=Rain,congestion=High,0.03017411335007367,0.2563469675599436,1.0247711403526631
"day=Weekend, time=Evening",congestion=High,0.017784879739348787,0.25574455386451805,1.022362934882158
